Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,turkey,3,2,1,0,3,1,2,7
2,paraguay,3,2,0,1,2,1,1,6
3,united states,3,1,1,1,2,2,0,4
4,australia,3,0,0,3,0,3,-3,0
