Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,portugal,3,3,0,0,5,0,5,9
2,colombia,3,2,0,1,2,1,1,6
3,dr congo,3,0,1,2,1,4,-3,1
4,uzbekistan,3,0,1,2,1,4,-3,1
