Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,germany,3,3,0,0,4,1,3,9
2,ecuador,3,2,0,1,2,1,1,6
3,ivory coast,3,1,0,2,2,3,-1,3
4,curacao,3,0,0,3,0,3,-3,0
