Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,switzerland,3,3,0,0,4,0,4,9
2,canada,3,2,0,1,2,1,1,6
3,bosnia and herzegovina,3,1,0,2,1,2,-1,3
4,qatar,3,0,0,3,0,4,-4,0
