Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,england,3,2,1,0,4,1,3,7
2,croatia,3,2,1,0,4,1,3,7
3,ghana,3,1,0,2,1,2,-1,3
4,panama,3,0,0,3,0,5,-5,0
