Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,mexico,3,3,0,0,3,0,3,9
2,south korea,3,2,0,1,2,1,1,6
3,czech republic,3,1,0,2,1,2,-1,3
4,south africa,3,0,0,3,0,3,-3,0
