Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,argentina,3,3,0,0,4,0,4,9
2,austria,3,2,0,1,3,1,2,6
3,algeria,3,1,0,2,1,2,-1,3
4,jordan,3,0,0,3,0,5,-5,0
