Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,brazil,3,3,0,0,5,0,5,9
2,morocco,3,2,0,1,3,1,2,6
3,scotland,3,1,0,2,1,2,-1,3
4,haiti,3,0,0,3,0,6,-6,0
