Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,france,3,3,0,0,4,0,4,9
2,senegal,3,2,0,1,2,1,1,6
3,norway,3,1,0,2,1,2,-1,3
4,iraq,3,0,0,3,0,4,-4,0
