Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,spain,3,3,0,0,5,0,5,9
2,uruguay,3,2,0,1,2,1,1,6
3,saudi arabia,3,1,0,2,1,3,-2,3
4,cape verde,3,0,0,3,0,4,-4,0
