Pos,Team,P,W,D,L,GF,GA,GD,Pts
1,netherlands,3,3,0,0,3,0,3,9
2,japan,3,2,0,1,2,1,1,6
3,tunisia,3,1,0,2,1,2,-1,3
4,sweden,3,0,0,3,0,3,-3,0
